method,param,tok_s_mean,nll,delta_nll,tok_succ,rnd_mean,all_pass,mean_L,frac_L0,frac_Lgamma
strict,—,27.177648,0.106990,0.000000,,,,4.834118,0.213824,0.042059
lossy_l,l=1.0,20.694141,0.377169,0.270179,0.946439,0.602866,0.555325,3.110443,0.303978,0.017199
lossy_l,l=0.7,21.572799,0.469778,0.362788,0.923057,0.610385,0.540428,3.334353,0.253278,0.023383
lossy_l,l=0.5,20.862578,0.548030,0.441040,0.899136,0.583506,0.493679,3.250268,0.260339,0.020141
lossy_l,l=0.3,25.112454,0.561808,0.454818,0.892126,0.643730,0.509274,4.256757,0.169051,0.060943
lossy_l,l=0.1,20.852964,1.097990,0.991000,0.771779,0.590703,0.419507,3.935805,0.122916,0.015676
lossy_l,l=2.0,6.856818,0.191141,0.084151,0.969091,0.425842,0.420805,0.830164,0.555474,0.000738
threshold_lossy,tau=0.1,23.497833,0.638479,0.531489,0.871220,0.654840,0.516693,4.174231,0.133803,0.022953
threshold_lossy,tau=0.2,19.590731,0.564263,0.457273,0.892174,0.589834,0.503786,3.059136,0.250051,0.014528
threshold_lossy,tau=0.3,21.107394,0.427177,0.320187,0.932808,0.642592,0.575785,3.415090,0.239261,0.015135
threshold_lossy,tau=0.4,21.909239,0.346446,0.239456,0.954998,0.644350,0.599375,3.425162,0.268570,0.015615
threshold_lossy,tau=0.5,23.487472,0.217578,0.110588,0.978038,0.687196,0.659402,4.027116,0.259250,0.023822
threshold_lossy,tau=0.6,23.646572,0.209529,0.102539,0.980253,0.666767,0.646216,3.735498,0.285510,0.024349
threshold_lossy,tau=0.7,21.902137,0.258041,0.151051,0.975786,0.601158,0.579345,3.276843,0.347132,0.021992
threshold_lossy,tau=0.8,21.571269,0.222545,0.115555,0.982500,0.586229,0.572706,3.223973,0.374069,0.017032
threshold_lossy,tau=0.9,21.428870,0.182444,0.075454,0.988021,0.575836,0.567511,3.121313,0.397175,0.021811
threshold_lossy,tau=0.95,19.553055,0.181656,0.074666,0.987883,0.560387,0.553452,2.793651,0.414420,0.013769
confidence_lossy,tau=0.1,20.833521,0.559801,0.452811,0.888437,0.640244,0.531910,3.553719,0.146465,0.015152
confidence_lossy,tau=0.2,22.126981,0.457980,0.350990,0.920237,0.636191,0.558615,3.404307,0.210036,0.023091
confidence_lossy,tau=0.3,21.708069,0.305677,0.198687,0.956093,0.700948,0.646448,3.682086,0.211470,0.017937
confidence_lossy,tau=0.4,21.798885,0.264794,0.157804,0.968780,0.675917,0.647223,3.610272,0.249593,0.015571
confidence_lossy,tau=0.5,21.074363,0.268630,0.161640,0.971755,0.641692,0.617705,3.368201,0.293327,0.016516
confidence_lossy,tau=0.6,22.458173,0.252512,0.145522,0.976366,0.631609,0.607522,3.388717,0.316150,0.022124
confidence_lossy,tau=0.7,21.712945,0.254928,0.147938,0.978029,0.594130,0.576644,3.235696,0.354825,0.020282
confidence_lossy,tau=0.8,20.089531,0.246936,0.139946,0.981376,0.563373,0.550937,2.871194,0.397736,0.016589
confidence_lossy,tau=0.9,20.860934,0.179701,0.072711,0.989307,0.579194,0.571692,3.069333,0.397128,0.015385
confidence_lossy,tau=0.95,18.232075,0.199406,0.092416,0.986680,0.538324,0.531161,2.512217,0.436969,0.010800
